Site,1,2,3,4,5,6,7
C & O Canal 10A,0,0,0,0,0,0,0
C & O Canal 10C,0,0,0,0,0,0,0
C & O Canal 11A,0,0,0,0,0,0,0
C & O Canal 11B,0,0,0,0,0,0,0
C & O Canal 11C,0,0,0,0,0,0,0
C & O Canal 12A,0,0,0,0,0,0,0
C & O Canal 12B,0,0,0,0,0,0,0
C & O Canal 12C,0,0,0,0,0,0,0
C & O Canal 13A,0,0,0,0,0,0,0
C & O Canal 13B,0,0,0,0,0,0,0
C & O Canal 13C,0,0,0,0,0,0,0
C & O Canal 1A,0,0,0,0,0,0,0
C & O Canal 1B,0,0,0,0,0,0,0
C & O Canal 1C,0,0,0,0,0,0,0
C & O Canal 20A,0,0,0,0,0,0,0
C & O Canal 20B,0,0,0,0,0,0,0
C & O Canal 20C,0,0,0,0,0,0,0
C & O Canal 21A,0,0,0,0,0,0,0
C & O Canal 21B,0,0,0,0,0,0,0
C & O Canal 21C,0,0,0,0,0,0,0
C & O Canal 23B,0,0,0,0,0,0,0
C & O Canal 25A,0,0,0,0,0,0,0
C & O Canal 25B,0,0,0,0,0,0,0
C & O Canal 25C,0,0,0,0,0,0,0
C & O Canal 26C,0,0,0,0,0,0,0
C & O Canal 28B,0,0,0,0,0,0,0
C & O Canal 28C,0,0,0,0,0,0,0
C & O Canal 29A,0,0,0,0,0,0,0
C & O Canal 29B,0,0,0,0,0,0,0
C & O Canal 29C,0,0,0,0,0,0,0
C & O Canal 2A,0,0,0,0,0,0,0
C & O Canal 2B,0,0,0,0,0,0,0
C & O Canal 2C,0,0,0,0,0,0,0
C & O Canal 31C,0,0,0,0,0,0,0
C & O Canal 32B,0,0,0,0,0,0,0
C & O Canal 33B,0,0,0,0,0,0,0
C & O Canal 3A,0,0,0,0,0,0,0
C & O Canal 3B,0,0,0,0,0,0,0
C & O Canal 3C,0,0,0,0,0,0,0
C & O Canal 4A,0,0,0,0,0,0,0
C & O Canal 4B,0,0,0,0,0,0,0
C & O Canal 4C,0,0,0,0,0,0,0
C & O Canal 5A,0,0,0,0,0,0,0
C & O Canal 5C,0,0,0,0,0,0,0
C & O Canal 6A,0,0,0,0,0,0,0
