Camsite,Latitude,Longitude,Hdens,Park_ID,Trail,OffTrail,NVDI,People,Det_dist,ABC
C & O Canal 10A,0.3899441,-0.7723958,9.345258331,1,1,0,0.825864471,0.857,1.6,A
C & O Canal 10C,0.3899374,-0.7724059,9.447642517,1,0,1,0.761365939,0,1.5,C
C & O Canal 11A,0.3899251,-0.7723773,9.435542297,1,1,0,0.857840079,0.629,1.8,A
C & O Canal 11B,0.3899244,-0.7723849,9.476901245,1,0,1,0.849580463,0.002,0.8,B
C & O Canal 11C,0.389925,-0.772392,9.499196625,1,0,1,0.842136808,0.002,1.1,C
C & O Canal 12A,0.3899111,-0.7723954,9.647172546,1,1,0,0.805080931,0.387,1.2,A
C & O Canal 12B,0.3899166,-0.7723972,9.598065948,1,0,1,0.805991791,0.003,1.5,B
C & O Canal 12C,0.3899179,-0.7724004,9.60782547,1,0,1,0.803346034,0,0.8,C
C & O Canal 13A,0.3899058,-0.7724046,9.748790741,1,1,0,0.744043343,0.443,2,A
C & O Canal 13B,0.3899097,-0.7724065,9.715358734,1,0,1,0.743094532,0,1.4,B
C & O Canal 13C,0.3899135,-0.7724103,9.685090637,1,0,1,0.740351796,0,1.8,C
C & O Canal 1A,0.3899902,-0.7724606,9.091751099,1,1,0,0.608829458,0.705,0.8,A
C & O Canal 1B,0.3899955,-0.7724561,9.051557922,1,0,1,0.595396363,0.002,0.6,B
C & O Canal 1C,0.3899971,-0.7724504,9.031835938,1,0,1,0.600438145,0,1.5,C
C & O Canal 20A,0.3898753,-0.7723631,9.926931763,1,1,0,0.850608648,0.543,0.9,A
C & O Canal 20B,0.3898753,-0.7723631,9.926931763,1,0,1,0.850561505,0,0.9,B
C & O Canal 20C,0.3898719,-0.7723705,9.998963928,1,0,1,0.845857222,0,1,C
C & O Canal 21A,0.3899144,-0.7723794,9.536328888,1,1,0,0.660296932,0.64,1.7,A
C & O Canal 21B,0.3899141,-0.7723728,9.505942535,1,0,1,0.640619505,0.001,1.3,B
C & O Canal 21C,0.3899138,-0.7723668,9.480571747,1,0,1,0.632649891,0.002,1.1,C
C & O Canal 23B,0.3898922,-0.7723703,9.747323608,1,0,1,0.819038009,0,0.7,B
C & O Canal 25A,0.3898855,-0.77234,9.715633392,1,1,0,0.80797756,0.576,1.05,A
C & O Canal 25B,0.3898904,-0.7723396,9.66268692,1,0,1,0.793506565,0,1.7,B
C & O Canal 25C,0.3898932,-0.7723337,9.622821045,1,0,1,0.799866447,0,1.1,C
C & O Canal 26C,0.3898706,-0.7723387,9.89647522,1,0,1,0.644390086,0,0.5,C
C & O Canal 28B,0.3899067,-0.7723066,9.50293045,1,0,1,0.774133289,0,1,B
C & O Canal 28C,0.3899109,-0.7723116,9.438970184,1,0,1,0.774932078,0.001,1.1,C
C & O Canal 29A,0.3899304,-0.7723036,9.213352966,1,1,0,0.837809027,0.008,1.15,A
C & O Canal 29B,0.3899244,-0.772305,9.282333374,1,0,1,0.841105838,0,1.2,B
C & O Canal 29C,0.3899228,-0.7723094,9.30802002,1,0,1,0.844402188,0,1.15,C
C & O Canal 2A,0.3899829,-0.7724486,9.165471649,1,1,0,0.786355661,0.853,0.7,A
C & O Canal 2B,0.3899867,-0.7724443,9.123628998,1,0,1,0.772958735,0,0.9,B
C & O Canal 2C,0.3899899,-0.7724399,9.082767487,1,0,1,0.78105346,0,1.1,C
C & O Canal 31C,0.3899377,-0.7723407,9.207279205,1,0,1,0.868160869,0.001,1.3,C
C & O Canal 32B,0.3899443,-0.772354,9.18045578,1,0,1,0.871392477,0,1.5,B
C & O Canal 33B,0.3899359,-0.7723729,9.314844513,1,0,1,0.847507231,0,1.6,B
C & O Canal 3A,0.3899783,-0.7724271,9.143928528,1,1,0,0.840364724,0.846,0.8,A
C & O Canal 3B,0.3899841,-0.7724255,9.078077698,1,0,1,0.843857302,0,0.7,B
C & O Canal 3C,0.3899891,-0.7724229,9.024649048,1,0,1,0.848721285,0,0.5,C
C & O Canal 4A,0.3899783,-0.7724103,9.076844025,1,1,0,0.871996241,0.802,0.7,A
C & O Canal 4B,0.3899842,-0.7724171,9.045506287,1,0,1,0.865886918,0,0.85,B
C & O Canal 4C,0.3899846,-0.7724108,9.026358795,1,0,1,0.866972252,0,1,C
C & O Canal 5A,0.3899653,-0.7724027,9.166104889,1,1,0,0.694398002,0.853,1.5,A
C & O Canal 5C,0.3899656,-0.77239,9.110665894,1,0,1,0.645782859,0.005,1.5,C
C & O Canal 6A,0.3899457,-0.7724112,9.391678619,1,1,0,0.8341325,0.681,1.1,A
C & O Canal 6B,0.3899487,-0.7724152,9.373134613,1,0,1,0.831235917,0,1.3,B
C & O Canal 6C,0.3899545,-0.7724169,9.325119019,1,0,1,0.83706483,0,1.2,C
C & O Canal 7A,0.3899424,-0.7724297,9.484463501,1,1,0,0.778741384,0.599,1.3,A
C & O Canal 7B,0.3899488,-0.7724311,9.429145813,1,0,1,0.7771572,0,1.15,B
C & O Canal 7C,0.3899521,-0.7724311,9.393876648,1,0,1,0.783037364,0,1,C
C & O Canal 8A,0.3899544,-0.7724535,9.404690552,1,1,0,0.708208079,0.475,1.2,A
C & O Canal 8B,0.3899565,-0.7724475,9.392671204,1,0,1,0.717655467,0,1.3,B
C & O Canal 8C,0.3899598,-0.7724422,9.357785797,1,0,1,0.736537218,0,1.2,C
C & O Canal 9A,0.3899736,-0.7724562,9.237535858,1,1,0,0.615072822,0.431,1.1,A
C & O Canal 9B,0.3899717,-0.7724523,9.255177307,1,0,1,0.608799328,0,1.3,B
C & O Canal 9C,0.389967,-0.7724475,9.294841003,1,0,1,0.615394704,0.001,2,C
C. Shenandoah 11A,0.3862484,-0.7829959,0.07918576,18,1,0,0.609792499,0.042,1,A
C. Shenandoah 11B,0.3862443,-0.7829933,0.079609597,18,0,1,0.609794973,0,1,B
C. Shenandoah 11C,0.3862323,-0.7829885,0.079627007,18,0,1,0.60201372,0,1,C
C. Shenandoah 12A,0.3862286,-0.7830299,0.064716077,18,1,0,0.798916253,0.04,1.2,A
C. Shenandoah 12B,0.3862323,-0.7830337,0.063650948,18,0,1,0.796300383,0,0.8,B
C. Shenandoah 12C,0.3862381,-0.7830454,0.060266137,18,0,1,0.834610837,0,1.3,C
C. Shenandoah 14A,0.3862184,-0.7830709,0.049965492,18,1,0,0.906785853,0.054,0.85,A
C. Shenandoah 14B,0.3862212,-0.7830753,0.049031499,18,0,1,0.905801663,0,1.5,B
C. Shenandoah 14C,0.3862341,-0.7830826,0.048447597,18,0,1,0.9072402,0,0.9,C
C. Shenandoah 15A,0.3861999,-0.7830881,0.04510549,18,1,0,0.915363662,0.055,1.3,A
C. Shenandoah 15B,0.386198,-0.7830829,0.046050784,18,0,1,0.915168934,0,0.9,B
C. Shenandoah 16A,0.3861596,-0.7830836,0.045984915,18,1,0,0.91037735,0.037,1.1,A
C. Shenandoah 16B,0.3861577,-0.7830767,0.047555092,18,0,1,0.910030842,0,1.3,B
C. Shenandoah 16C,0.3861555,-0.7830638,0.050588554,18,0,1,0.909305149,0,1.5,C
C. Shenandoah 17B,0.3861493,-0.7830594,0.052197903,18,0,1,0.835071816,0.001,0.8,B
C. Shenandoah 17C,0.3861374,-0.7830584,0.053211588,18,0,1,0.836225567,0,1.2,C
C. Shenandoah 18B,0.3861547,-0.7830239,0.060876262,18,0,1,0.629632508,0,1.2,B
C. Shenandoah 18C,0.3861748,-0.7830148,0.064516073,18,0,1,0.630905272,0,2,C
C. Shenandoah 1A,0.3863748,-0.7830179,0.091818279,18,1,0,0.798000305,0.173,1.5,A
C. Shenandoah 1B,0.386378,-0.7830181,0.092141885,18,0,1,0.796897213,0,0.6,B
C. Shenandoah 1C,0.3863817,-0.7830232,0.089870727,18,0,1,0.798256128,0,0.8,C
C. Shenandoah 20A,0.3861152,-0.7829514,0.089343172,18,1,0,0.904245385,0.102,0.65,A
C. Shenandoah 20B,0.3861214,-0.7829548,0.087547797,18,0,1,0.903772179,0,0.8,B
C. Shenandoah 20C,0.3861287,-0.7829697,0.080590647,18,0,1,0.904572379,0,1.1,C
C. Shenandoah 27A,0.3860968,-0.782888,0.112299597,18,1,0,0.903199221,0.009,0.75,A
C. Shenandoah 27B,0.3861035,-0.782891,0.111256993,18,0,1,0.904282436,0,0.6,B
C. Shenandoah 27C,0.3860955,-0.7828954,0.109886742,18,0,1,0.904761546,0,1.3,C
C. Shenandoah 28A,0.3861279,-0.7828918,0.110389364,18,1,0,0.88107661,0.025,0.8,A
C. Shenandoah 28B,0.3861281,-0.7828961,0.108659816,18,0,1,0.880812955,0,0.55,B
C. Shenandoah 29A,0.3861451,-0.7828423,0.129020536,18,1,0,0.783527162,0.101,0.95,A
C. Shenandoah 29B,0.3861477,-0.7828362,0.131970608,18,0,1,0.805610504,0,0.9,B
C. Shenandoah 29C,0.3861529,-0.7828242,0.137517583,18,0,1,0.785940196,0,0.7,C
C. Shenandoah 2A,0.3863631,-0.7830294,0.081652474,18,1,0,0.909424408,0.209,1.1,A
C. Shenandoah 2B,0.3863589,-0.7830289,0.08175472,18,0,1,0.908932396,0,1,B
